s100a9,cd74,s100a8,ctsb,lyz1,spp1,apoe,psap,nampt,rgs1,il1b,basp1,g0s2,ccl4,gpnmb,glul,nr4a2,vim,sell,tnfaip3,csf3r,c1qa,il7r,alox5ap,h2-ab1,nkg7,hsp90aa1,h2-aa,cd79a,ier3,nfkbia,c1qb,ccl5,fos,hsph1,cd83,jun,zfp36l2,mmp9,ets1,slc25a37,klrd1,il1rn,ly9,cd247,sat1,zfp36,ccr7,fosb,gpr183,il2rb,itm2b,fyn,ms4a1,thbs1,ncf1,mxd1,hsp90ab1,cxcl2,gzma,cd69,bcl11b,egr1,cxcr1,ezr,pik3r1,gng10,npc2,msrb1,cd63,ppif,ypel5,cebpb,pou2f2,vmp1,itgb2,tuba1b,arl4c,fn1,h2-eb1,cd3d,nr4a1,s100a6,il1r2,cd7,id2,anxa1,cxcr5,herpud1,ivns1abp,cnot6l,ffar2,fosl2,trp53inp1,lgmn,f13a1,fcmr,osm,slc2a3,cst3,tnfrsf13c,cstb,plac8,lbr,ifitm3,mmp12,gimap4,msl1,ifit3,c1qc,irf8,s100a4,socs3,st6gal1,icos,dusp2,bank1,cd8a,pax5,csf2rb,smim14,tmem176b,ctsw,cd3g,h2-ob,leprotl1,actn1,prdm1,btg2,c5ar1,mef2c,ckap4,csrnp1,sdcbp,plek,p2ry13,clec4e,arhgef3,tgif1,apoc2,gm2a,vpreb3,ypel3,mafb,pdlim1,cd300e,ptger4,bcl11a,nfkb1,gsn,trem1,dgat2,rab31,nfkbiz,tsen34,cybb,blk,peli1,ralgps2,hspe1,ptgs2,ly86,ppp1r15a,ebf1,pten,tnf,klf4,ptafr,sun2,cd19,nfatc2,fcrla,pou2af1,trib1,cr2,eomes,fcrl1,hmox1,evl,ahnak,rsad2,rgs18,rnf149,vegfa,ccl3,ccl17,cd37,ctsc,fpr2,fgl2,tgfbi,selplg,arg1,slc40a1,tubb5,sgk1,rtn3,fabp5,spn,il1a,ccl22,s100a10
0,0.0686575812374417,0.464613555821585,0,0,0,0,0,0.112595559581661,0.0586314797903331,0,0.134053976495365,0,0,0,0,0.020617989932435,0,0.168964148604612,0.00209719707892141,0.118605082602154,0,0,0.132955598584854,0,0,0.0648158268306892,0,0,0,0,0,0,0.0340292807869736,0.00112369685120747,0,0.00399843405056952,0,0.0871799869819173,0.0340136815614234,0.0857739129826773,0,0,0,0,0,0,0.02967651046533,0,0.0111141776770125,6.26664608023198e-05,0.0849873976172448,0.0374218749100907,0,0,0.181380113160802,0.101797304599785,0.0592603951216363,0,0,0.00995528984883693,0,0,0.0600301174820622,0.0176683783983992,0,0.0746759703866075,0,0.179711468321995,0,0,0,0.0420174583064473,0,0.0993842824366223,0,0,0.0683093971067492,0,0,0,0,0.143426934206607,0.0876038478501933,0,0,0,0,0,0,0.0183935179880824,0.0571685460917126,0,0,0,0,0.0240484410734925,0,0,0,0,0,0,0.0650888149319319,0.00323010780308786,0,0,0.0559675232461764,0.0689392466044221,0,0,0.0369329031238044,0,0.00135614910005201,0,0.0175991362160047,0,0,0,0.0422010811043271,0,0,0,0,0,0,0.10329523457561,0,0,0.0936507174805116,0,0.0895935291249129,0,0.0882111801248402,0,0.0185746591080132,0.112448952129484,0,0,0,0,0,0.0702752571595651,0,0,0,0,0,0,0,0.0304263421889227,0.0752150166969321,0,0,0.0916374848742526,0,0,0.0426273744254115,0,0.0155767073529628,0,0,0,0,0.0659022124458442,0,0,0.0429056397672519,0,0,0,0,0,0,0,0,0,0,0.0283215941518058,0.0632480869749422,0,0.08219362453767,0.0612902414468634,0,0,0,0,0,0.0617575191027466,0,0,0.0327218646957367,0.02930491386344,0.00501999608197848,0.00107125562766674,0,0.129101672024476,0,0,0,0,0
0.0686690071482549,0,0.0812767721976921,0.0266010470154838,0,0,0,0,0,0,0,0,0,0,0,0,0.0358638712266188,0,0.02455259985606,0,0.0422609452831035,0.0282205855374469,0.00238802255635285,0,0.382048151723549,0.023629489908638,0,0.171443484901295,0.0998121374694616,0,0,0.018542043927868,0.0185010321317243,0,0.0123016094368784,0.170889765622263,0.0282395558254722,0,0,0.0411676350942283,0.0204531885631172,0.0352947875606376,0,0.00421801603894133,0.0826710254616159,0,0,0,0.0855422735112478,0.140736877747944,0.0238322839249351,0,0.062329782166063,0.0512709501664729,0,0,0,0.0631543680939512,0,0.0105140950773142,0,0.0310132953742281,0,0.0488440353154979,0.016596912643494,0,0,0.0294621495236323,0.0215447485598622,0,0,0,0,0.0109191142607332,0,0,0.097379244700071,0,0,0.139595590368493,0.0108080502010185,0.0753862044673717,0.00494940151259778,0,0.0190184623247585,0,0,0,0.117312029364882,0,0,0,0,0,0.0136156853051572,0,0,0,0,0.0566624997169125,0.039868225734587,0,0,0.00622051190250954,0,0,0.0623005401628399,0,0,0,0.0766087002402233,0.0483176085297553,0.0146886415811783,0,0,0,0.0457044828344904,0,0.0246586298055125,0,0.00792256189571566,0.021688644279138,0,0,0.0333391755485491,0,0,0,0,0,0.0423897379409216,0,0,0,0,0,0,0,0.0654003825863652,0,0.0599214458134975,0.021942809197312,0.0169822572584837,0,0.00620162242585294,0,0,0.0337902540834166,0,0,0,0,0,0,0,0.128610926605628,0,0,0,0,0,0.11529802926321,0.00461407748027565,0,0,0,0.0274812379402521,0,0,0.0124074344310694,0,0.0053317591384807,0,0,0,0,0,0,0,0,0,0,0.00428335757537332,0,0,0,0.00930876248651741,0,0,0,0,0.0816884679593099,0,0,0,0,0,0,0,0,0,0
0.464614554162571,0.0812405653315479,0,0,0,0,0,0,0.0812220753351672,0.0266740769099234,0,0.127489523640829,0,0,0,0,0.018450454861391,0,0.165285343010493,0.0149245556021333,0.132641455386765,0,0,0.122008202794327,0,0,0.0391832043973575,0,0,0,0,0,0,0,0,0,0.00285170835466197,0,0.106596783941377,0,0.0622862025656781,0,0,0,0,0,0,0,0,0.0176188500463735,0,0.0634500169329508,0,0,0,0.178243412285901,0.087460361447881,0.0431435426396722,0,0,0,0,0,0.0865324623786649,0,0,0.0428283012204696,0,0.137910480561433,0,0,0,0.0175220576603929,0,0.0240427755001242,0,0.0208912809210656,0.0403828224138164,0,0,0,0,0.178919010989192,0.0687770563274381,0,0,0,0,0,0,0,0.0376500796495149,0,0,0,0,0,0,0,0,0,0,0,0.0875050346954693,0,0,0,0.074753141927347,0.00891422421474151,0,0,0.0480799183878159,0,0,0,0.014537506851935,0,0,0,0.0334848934461064,0,0,0,0,0,0,0.0598260550250773,0,0,0.036470202494881,0,0.147681238156969,0,0.0528021247230481,0,0,0.0612837621636587,0,0,0,0,0,0.0498494713011087,0,0,0,0,0,0,0,0,0.048532765229889,0,0,0.065006535731087,0,0,0.052961656568882,0,0,0,0,0,0,0.0381303431772288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306351969445449,0,0.0439999893416413,0.0503184475922589,0,0,0,0,0.00760531943635716,0.0591401908881941,0,0,0.00739581234754701,0.0653979425036121,0,0.0141969233907572,0,0.0722242447666545,0,0,0,0,0.0379141503156233
0,0.02657721508665,0,0,0.0376338133088905,0.0954778769405619,0.078759300595989,0.122904986108019,0,0,0,0,0,0,0.190808523087482,0.156809649608869,0,0.0872777866183018,0.0798650864755711,0,0,0.126255133848032,0,0,0,0,0,0,0,0.0108850521632416,0.0565161920734888,0.0532410204063014,0,0,0,0,0,0.00694491426780617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129688879146282,0,0,0,0.125091764107952,0,0,0,0,0,0,0,0,0.144966425128075,0,0.160108501682127,0,0,0,0,0,0,0.0797911920375553,0,0.0360056305418904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136423417456733,0.00910552347757627,0,0,0,0.0243256282640168,0,0.0632272212619503,0,0,0,0,0,0,0,0,0,0,0.0260431962202121,0,0,0,0,0,0,0,0,0.151350970814676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386420476140507,0.102596510238286,0,0.00823878007355915,0.068831597968228,0,0,0,0,0,0.0111152757093167,0,0,0.0264871647552738,0,0,0.0522927076682664,0,0,0,0,0,0,0,0,0,0,0.0648962029097526,0,0,0,0,0,0,0,0,0,0,0.077786187416993,0,0,0,0,0,0,0,0,0.00715368684578121,0.0423784351261221,0,0,0.146127168486746,0,0,0,0.0549796919639276,0.000282694221061623,0,0.0789196135828968,0,0,0,0.025872772786025
0,0,0,0.0376324101338217,0,0,0,0.157696940730379,0,0,0.0223672874660716,0,0,0,0,0.0664346271860639,0,0.0745446775100601,0,0,0,0,0,0,0,0,0,0,0.0209987955447379,0,0,0,0,0,0,0,0,0.0700144003663229,0,0.0212766575634417,0,0,0,0.0124164429254604,0,0.0493694252260044,0,0.00834831494435963,0,0,0,0,0,0.0225420596951878,0.0940238925347605,0,0,0,0.0209072380172735,0,0.00962914233753413,0,0,0,0,0,0,0.0519925719895195,0,0.0326725729638082,0.0706588350133706,0.00455204000557232,0,0,0,0.076564379866525,0,0,0.0649766652058811,0.0697827853503314,0,0,0,0,0,0,0,0,0,0,0.000515796596189469,0,0,0,0,0,0.020885425651423,0,0,0.168416750083209,0,0,0,0,0,0,0,0,0,0,0,0,0.0100584099894426,0,0,0,0,0,0,0,0,0.103967086179361,0,0,0,0,0,0,0,0.0382299948776774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696921803465879,0,0,0,0.0407669056097557,0,0,0.0700958462317321,0,0,0.0948407068770792,0,0,0,0,0,0,0,0,0,0,0.0562218003983058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116471450150453,0,0,0,0,0,0.0742623873022823,0.0842328507033046,0,0,0,0,0.00096793689342883,0,0,0,0,0,0.0207186939716578
0,0,0,0.0954777641194089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365314103146377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000774683688657426,0,0,0,0.101094506280107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112806480742526,0,0,0,0,0,0,0,0,0.01494521262999,0,0.0600820359974015,0,0,0,0,0,0,0.0158597800083314,0,0.151796908047286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141232703794745,0,0,0,0.179329097263091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904440206203386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926501494562047,0,0,0,0.00446865568266411,0,0,0.114440461937821,0,0,0,0.108958838630932
0,0,0,0.078756776609867,0,0,0,0.113685483100653,0,0,0,0,0,0,0.36792712486388,0.0147470948417608,0,0,0,0,0,0.200493274672053,0,0,0,0,0,0,0,0,0,0.207298262136101,0,0,0,0,0.0777708339781008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225547234632167,0,0,0,0.0565994900952781,0,0,0,0,0.00411660145760869,0,0.0310180321395625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170901281594738,0,0,0,0,0,0,0.00691390587326317,0,0,0,0,0,0,0,0.0685571897720576,0,0,0,0,0,0,0,0,0,0,0,0.0638831453175525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103827484592471,0.13938746167878,0,0,0.0222535970586902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611051793827806,0,0,0,0,0,0,0,0,0,0,0.0374234729880583,0,0,0,0,0,0,0,0,0,0.0651548739891562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.122905908094925,0.157697344317694,0,0.113686713652845,0,0,0,0,0,0,0,0.110131592207879,0.101414522817345,0,0.0129223983263062,0,0,0,0.0192080634081507,0,0,0,0,0,0,0.016602342910708,0.0354934524249156,0.0431183932549396,0.0316703182235046,0,0,0,0,0,0.0433537853075761,0.0146387484326886,0.0406157818830154,0,0,0,0.00670651012537237,0,0.0499201734834606,0,0.0117928489715308,0,0,0,0,0.0247633757837573,0,0,0,0,0,0.0228470510115202,0,0.00273407589381339,0,0,0,0.0187347622521852,0,0,0.102907514040505,0,0.116591759943579,0,0.0234100392227481,0.01231332751591,0,0,0.0145954420240556,0,0,0.00480885680434841,0,0,0,0,0,0,0,0,0,0,0,0.0115910977871805,0,0,0,0.0308895958609138,0,0.0366985155421449,0,0,0.0562849564786293,0,0.054771074729024,0,0,0.00387791558278952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529295390824617,0,0,0,0,0,0,0,0.0327057891402,0,0,0,0,0,0,0,0,0,0,0.0408249948189322,0,0,0.0652614921193674,0,0,0,0,0,0,0,0,0.0763395361364088,0,0,0.0276620202242791,0,0,0,0,0,0,0,0,0,0,0.0460829851722741,0,0,0,0,0,0,0,0,0,0,0.0283973847611278,0,0,0,0,0,0,0,0,0,0.00775309168389345,0,0,0.0224031106512993,0,0,0,0,0.00734500900141019,0,0,0,0,0,0
0.112590754139658,0,0.0812173727392613,0,0,0,0,0,0,0,0,0.093700909761163,0.00202192158310451,0,0,0,0,0,0,0,0.106751008518271,0,0,0.0295147253530175,0,0.0240622228450044,0,0,0,0,0,0,0,0.0437861424007752,0,0,0,0.0163357679847143,0,0.0342346207012036,0.0852758084647697,0.00688767191651147,0,0,0.0240454043470762,0.0935482327386824,0,0,0,0,0.000736606304651981,0.069440071225894,0,0,0,0.00420792246819331,0.154005130990296,0,0,0.00678191796673002,0,0,0,0.0223065865082843,0,0,0.063229362718336,0,0,0,0,0,0.109135425993881,0,0.0599019006898006,0,0,0,0,0,0,0,0,0.0682084497852525,0,0,0,0,0,0,0,0.037406644929368,0,0,0,0,0.0278482285198057,0.00333993196208305,0,0,0,0,0.0240651418224533,0,0.061384137846896,0,0,0,0.00690272243647127,0,0,0,0,0.00997219366768836,0,0,0,0,0,0.0326337013966111,0,0,0.00762492634218023,0,0,0,0.0723278769202714,0,0,0.12255722873695,0,0,0,0.0932061244487276,0.015223655596091,0.0147634687338558,0.075849745934628,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865532906166604,0.0227506846201762,0.0617906342810602,0,0.0123989233076733,0,0,0.0637476633999946,0,0,0.0204554619099499,0,0,0,0.0452965389073213,0,0,0.0343374461851936,0.0174751401597358,0,0.0173631018825996,0,0,0.0309452529152063,0,0,0,0,0.0421452168211959,0.0471547320491015,0,0,0.102979346273825,0,0,0,0,0,0.0508754185714709,0.0570324759979302,0,0,0,0,0,0,0.0250598724817921,0,0,0,0,0
0.0586324064181472,0,0.0266744741909349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103663983562587,0,0,0.0614769044991452,0.0205571028366886,0,0,0,0,0.0121042169839766,0.0313355703039317,0,0,0,0,0,0,0,0.0431880931540289,0.0121043875676994,0.00511739887090626,0.0172638915369696,0,0,0,0.0278035235506519,0,0,0,0,0.0997233152216932,0,0,0.0327288449491656,0,0,0,0,0,0,0,0.0335439006772917,0,0,0,0,0,0,0.00953857617952112,0,0,0,0,0,0,0.0297757849947588,0,0,0,0.00285076521339272,0,0,0,0,0,0,0,0,0,0,0,0,0.0218588153061517,0,0.0266136824126535,0,0.0174202165906397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270933130132844,0,0.0421546419200714,0.0116201943178139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245774332138494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
