class_,cell_id,condition,sub_type,nCounts,mito_pct,umap1,umap2
B cells,p3t2:bcFAPT,tumor,tB,1309,9.3964858670741,-4.27873614233732,12.411132523008
B cells,p3t1:bcEWPM,tumor,tB,1944,9.82510288065844,-3.26077964705229,12.09008474011
B cells,p3t3:bcGWVU,tumor,tB,2269,7.36007051564566,-4.1880541126132,11.9138981785255
B cells,p3t2:bcHWAB,tumor,tB,1724,7.19257540603248,-2.90336039465666,12.1044957127052
B cells,p3t3:bcHMLJ,tumor,tB,1805,9.6398891966759,-3.24979880255461,11.698766418882
B cells,p3t3:bcFXSU,tumor,tB,2278,6.71641791044776,-4.41338255804777,12.2817732777077
B cells,p3t2:bcHVCG,tumor,tB,1244,7.07395498392283,-3.0447857658267,12.1934086765724
B cells,p1t2:bcATIE,tumor,tB,1070,8.31775700934579,-4.79426339071989,12.1173016514259
B cells,p3t1:bcCSFG,tumor,tB,1552,9.85824742268041,-2.82505395811796,12.4871079410988
B cells,p1t2:bcDPXQ,tumor,tB,1673,8.06933652121937,-4.61752798956633,11.7334687199074
B cells,p3t2:bcHDPQ,tumor,tB,1464,4.78142076502732,-4.44406369131804,12.3245312656838
B cells,p3t2:bcERSZ,tumor,tB,1132,9.09893992932862,-3.79726508063078,12.634596535154
B cells,p1t1:bcDNHP,tumor,tB,1273,8.01256873527101,10.783963652432,1.32111025709687
B cells,p3t3:bcBUIA,tumor,tB,1352,9.39349112426035,-3.97087147635222,12.0487410511452
B cells,p3t2:bcCWOM,tumor,tB,1731,9.18544194107452,-4.48344710272551,11.7959773029762
B cells,p1t1:bcBTWK,tumor,tB,1395,7.24014336917563,-3.75867941778898,11.4468399967629
B cells,p3t2:bcDJLS,tumor,tB,1881,7.86815523657629,-3.11918070715666,11.7147023167091
B cells,p2b1:bcGYJR,healthy,bB cells,3431,7.95686388807928,-5.04541399878264,12.0454613651711
B cells,p3t2:bcEXIA,tumor,tB,1381,9.48587979724837,-4.01797869604826,12.0606486286598
B cells,p7t1:bcHEIJ,tumor,tB,2208,6.15942028985507,-4.30377390784025,12.504451462217
B cells,p3t1:bcELGT,tumor,tB,1645,7.78115501519757,-3.45831253927946,12.5715043034035
B cells,p3t1:bcDPSA,tumor,tB,1519,8.95325872284398,-3.43580534857512,12.0432221378761
B cells,p3t1:bcGCWW,tumor,tB,2153,9.98606595448212,-4.60870745581389,11.9301030125099
B cells,p3t3:bcGYAW,tumor,tB,1224,6.37254901960784,-3.4630580226779,11.880162903257
B cells,p3t3:bcIHRF,tumor,tB,1918,6.30865484880084,-3.57880595129728,12.1871144260841
B cells,p3t1:bcGRWW,tumor,tB,1616,9.9009900990099,-3.81446745795012,11.6282040562111
B cells,p3t1:bcFMIL,tumor,tB,1499,6.80453635757171,-2.85072997015715,12.1984316791969
B cells,p3t3:bcHCOP,tumor,tB,1312,8.6890243902439,-2.9194743911624,12.3345620121437
B cells,p6b1:bcBEVC,healthy,bB cells,2068,9.38104448742747,-5.05603650015593,12.0454718555885
B cells,p3t2:bcIHWE,tumor,tB,2177,8.40606338998622,-4.57582428854704,12.1196972813088
B cells,p3t1:bcAPFC,tumor,tB,1705,5.80645161290323,-4.56206467550993,12.3721873249489
B cells,p3t2:bcEKPT,tumor,tB,1239,8.31315577078289,-4.67614558142424,11.8334576572853
B cells,p3t2:bcCOUU,tumor,tB,1605,5.04672897196262,-4.65780308645964,12.1791312183815
B cells,p6t2:bcGCIV,tumor,tB,1166,8.66209262435678,-3.45122697752714,12.6123110737282
B cells,p2t1:bcGNLD,tumor,tB,2326,9.84522785898538,-4.42641690176725,11.9579045261818
B cells,p3t3:bcDJKW,tumor,tB,2100,8.04761904761905,-3.56448939245939,11.6172463383156
B cells,p3t3:bcHSLK,tumor,tB,1194,9.79899497487437,-4.48967316550016,12.2485129322487
B cells,p3t2:bcDQQL,tumor,tB,1585,9.77917981072555,-3.45678689879179,11.5500142063576
B cells,p3t1:bcECCL,tumor,tB,1494,7.1619812583668,-3.26435473364592,12.5356070484596
B cells,p3t2:bcHIRK,tumor,tB,1602,6.99126092384519,-4.35205223959684,11.7523362125832
B cells,p3t3:bcENBL,tumor,tB,1572,9.79643765903308,-4.12555745047331,12.0585524525124
B cells,p3t2:bcBVLD,tumor,tB,2263,8.70525850640742,-4.52867558401823,11.8868739094215
B cells,p3t2:bcICBF,tumor,tB,1830,7.26775956284153,-4.60845473212004,12.1259867634255
B cells,p3t1:bcFOHD,tumor,tB,1650,8.78787878787879,-2.95136168402433,12.2375237431007
B cells,p6t1:bcBFMP,tumor,tB,1515,9.10891089108911,-3.40837171477079,11.9610430683571
B cells,p3t2:bcHSXX,tumor,tB,1384,8.30924855491329,-4.30147269171476,11.8217846836525
B cells,p3t2:bcDGAR,tumor,tB,1381,8.47212165097755,-3.14770319861174,12.1553332294899
B cells,p3t1:bcAHFT,tumor,tB,1787,7.89031897034135,-3.29635622900724,11.7767350162941
B cells,p6t1:bcFXSP,tumor,tB,1846,8.72156013001083,-3.12158205908537,12.3393532719093
B cells,p3t1:bcFLHT,tumor,tB,1357,8.99042004421518,-3.45513465803862,11.944896408506
B cells,p7t2:bcAUXK,tumor,tB,1100,8.81818181818182,-3.99451020163298,12.5160691227394
B cells,p3t2:bcAPOZ,tumor,tB,1398,8.0829756795422,-3.63332798880339,11.8878209080177
B cells,p1b2:bcAUZD,healthy,bB cells,2969,9.46446615021893,-4.9878964702487,12.0602652515846
B cells,p3t3:bcIGDA,tumor,tB,1691,7.56948551153164,-4.60840752524138,12.1974999393898
B cells,p3t3:bcARTC,tumor,tB,1664,7.93269230769231,-4.54478934210539,12.2084643330055
B cells,p5t2:bcFBFB,tumor,tB,1123,7.92520035618878,-3.34019210737944,11.9243065800148
B cells,p5t2:bcGCWL,tumor,tB,1258,6.51828298887122,-3.81483652991056,11.526026436277
B cells,p3t1:bcIBPP,tumor,tB,1193,8.46605196982397,-3.65427353781462,12.1448275532204
B cells,p3t1:bcGFVQ,tumor,tB,1197,9.77443609022556,-3.59458496969938,11.4470507587868
B cells,p3t2:bcGVBK,tumor,tB,1617,7.97773654916512,-2.92086007994413,12.2365767445046
B cells,p3t2:bcCYNA,tumor,tB,1971,8.82800608828006,-4.27281716269255,11.8764006580788
B cells,p3t2:bcDRKU,tumor,tB,1038,9.05587668593449,-3.54669526022673,12.4191767658669
B cells,p2b1:bcHNNW,healthy,bB cells,1703,8.33822665883735,-5.06998494070768,12.0490862812477
B cells,p3t3:bcDAUT,tumor,tB,1487,9.34767989240081,-4.43698361319304,12.3469311680275
B cells,p3t2:bcCWMZ,tumor,tB,1478,9.53991880920162,-3.8169079105258,11.9075705494362
B cells,p3t3:bcHCDX,tumor,tB,1434,8.78661087866109,-3.03795388144255,12.4149004902321
