class_,condition,rep,lib,barcode,batch,nCounts,mito_pct, Immgen_type,sub_type,x,y,cell_id
B cells,healthy,Healthy 2,h_2_2,bc206,round3_20160313,2383,8.77,B_Fo_MLN,B cells,200.810424387,279.700996237,h_2_2:bc206
B cells,healthy,Healthy 2,h_2_1,bc1142,round2_20151217,1574,5.654,B_Fo_MLN,B cells,301.917498416,361.33207535,h_2_1:bc1142
B cells,healthy,Healthy 1,h_1_2,bc0936,round3_20160313,1418,6.982,B_T1_Sp,B cells,153.485123327,355.57330945,h_1_2:bc0936
B cells,healthy,Healthy 1,h_1_2,bc0008,round3_20160313,4410,6.757,B1a_Sp,B cells,320.806064059,268.862918679,h_1_2:bc0008
B cells,healthy,Healthy 1,h_1_2,bc1163,round3_20160313,1258,9.857,B_Fo_Sp,B cells,210.915145072,325.963382351,h_1_2:bc1163
B cells,healthy,Healthy 1,h_1_1,bc1230,round1_20151128,2365,6.681,B_Fo_MLN,B cells,285.702432299,341.354518848,h_1_1:bc1230
B cells,healthy,Healthy 1,h_1_1,bc1271,round1_20151128,2877,7.647,B_Fo_MLN,B cells,246.195033907,335.21476729,h_1_1:bc1271
B cells,healthy,Healthy 2,h_2_1,bc0978,round2_20151217,1694,6.08,B_Fo_MLN,B cells,214.10573358,385.088055807,h_2_1:bc0978
B cells,healthy,Healthy 2,h_2_1,bc1069,round2_20151217,1479,2.705,B_Fo_MLN,B cells,286.694087046,377.611595014,h_2_1:bc1069
B cells,healthy,Healthy 1,h_1_1,bc0890,round1_20151128,2937,9.874,B_Fo_MLN,B cells,223.214995163,342.915835193,h_1_1:bc0890
B cells,healthy,Healthy 2,h_2_3,bc1081,round3_20160313,1399,7.863,B_Fo_Sp,B cells,208.169468103,258.269915719,h_2_3:bc1081
B cells,healthy,Healthy 2,h_2_2,bc736,round3_20160313,1302,6.068,B1a_Sp,B cells,224.829301506,285.123434003,h_2_2:bc736
B cells,healthy,Healthy 2,h_2_1,bc0860,round2_20151217,2005,2.195,B_Fo_MLN,B cells,328.479265155,299.704719454,h_2_1:bc0860
B cells,healthy,Healthy 2,h_2_1,bc1455,round2_20151217,1210,2.975,B_Fo_MLN,B cells,209.37763898,369.803811534,h_2_1:bc1455
