accuracy,precision,recall,f1,n_classes,n_features,n_char_features,n_obs_train,n_obs_test,signal_train,signal_test,diff_train,diff_test,noise_train,noise_test,classifier,n_hidden_GNN,n_hidden_FC
0.996,0.996002376066875,0.996,0.995999995204786,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.9916,0.991621252649331,0.9916,0.991603531842146,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.988,0.988045966917464,0.988,0.987979001488484,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.9876,0.987713408328208,0.9876,0.987599291647384,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.9864,0.986433390387571,0.9864,0.986385144883055,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.9808,0.981077511795799,0.9808,0.980776589782244,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.9236,0.925197672404353,0.9236,0.923759964757148,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.9096,0.909765751865373,0.9096,0.909342536424017,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.9064,0.906582322352579,0.9064,0.906462531548352,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.904,0.904220756952644,0.904,0.904052924185173,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.8964,0.898134736302941,0.8964,0.896786678499815,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.8964,0.896981789158924,0.8964,0.896430100725188,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.89,0.8909186294964,0.89,0.889862125846719,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.888,0.889251733581873,0.888,0.887910026240111,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.8864,0.886688531084505,0.8864,0.88626047986308,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.884,0.89326410102147,0.884,0.885296027145225,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.8812,0.88265622373429,0.8812,0.881016507982494,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.8676,0.869489153825741,0.8676,0.867426677837305,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.8356,0.837963256500644,0.8356,0.835896216699772,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.8328,0.833948254710638,0.8328,0.832410585926736,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.8312,0.836829784119198,0.8312,0.832540460522795,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.8224,0.824681798126458,0.8224,0.822976895953127,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.8176,0.818155920618168,0.8176,0.817506135086995,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.8176,0.819570197571698,0.8176,0.817652302479199,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.8128,0.815649157739521,0.8128,0.81379452128991,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.8128,0.814059436136323,0.8128,0.812962158329471,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.8108,0.811890514189086,0.8108,0.811135681287491,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.8104,0.813065716788222,0.8104,0.811061412173577,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.81,0.816034869690116,0.81,0.810440733548179,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.808,0.808884407881615,0.808,0.807942771321866,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.8048,0.80766995872316,0.8048,0.804053403445168,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.8032,0.804215541765792,0.8032,0.803442148939642,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.8024,0.805814845897251,0.8024,0.803630200003002,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.7964,0.800064109579672,0.7964,0.795505669362833,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.7888,0.79128453842898,0.7888,0.7895942823657,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.7888,0.790613126785131,0.7888,0.789136381942736,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.7884,0.789663310387505,0.7884,0.788035233348129,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.7868,0.787629254184133,0.7868,0.786689960009438,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.7844,0.785862121278346,0.7844,0.784798233486152,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.7832,0.783076792832147,0.7832,0.783048184310303,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.782,0.788933587871621,0.782,0.783181348552517,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.7792,0.782333043966646,0.7792,0.779036975972865,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.7784,0.783115360125424,0.7784,0.779640799681055,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.7768,0.78109998907836,0.7768,0.777034521822109,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.774,0.78492111942507,0.774,0.775889670941793,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.7736,0.776626876183999,0.7736,0.774311961207149,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.7728,0.778774360863313,0.7728,0.774029595044725,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.7728,0.77284388823318,0.7728,0.772487128206287,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.7716,0.778247680073437,0.7716,0.773690784176961,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.7712,0.771097106187202,0.7712,0.771080353810884,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.77,0.775116801355744,0.77,0.770395003206596,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.7696,0.779481456035891,0.7696,0.769615867492177,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.768,0.768678239186936,0.768,0.768059772715642,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.7624,0.765336964598864,0.7624,0.763061079541147,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
